Data Center Name,Address Name ,Street Number ,Street Name,Zip code,City,State ,Lattitude,Longitude,Description,,,,
2323 Bryan Street (DFW10),Digital Realty,2323,Bryan Street,75201,Dallas,Texas,33,#VALUE!,"Located in downtown Dallas Univision Tower is one of the premier Internet gateways in the United States. Consisting of over 477,000 square feet the telecommunications facility serves as the southwest headquarters for the Univision broadcasting network and is the nexus of metro-area national and international communications networks in the southwestern United States.",,,,
8435 Stemmons Freeway (DFW36),Digital Realty,8435,Stemmons Freeway,75247,Dallas,Texas,33,-96.87364466,"Building: 11 stories 230,700 (sq.ft.)

Telx Leased: 34,901 (sq.ft.)

Flood Zone: Outside 100 year flood plain

Seismic: Zone 1

Utility Power Capacity: 6000 (kW)

UPS Power Capacity: 1040 (kW)

UPS Redundancy: N+1

Power Density: 125 (W/sq.ft.)

DC Power Capacity: 50 (kW)

Generator Power Capacity: 3000 (kW)

Generator Redundancy: N+1

Cooling Redundancy: N+1

Roof: Single membrane with insulation, Roof rights available

Floor Loading: 125 (lbs/sq.ft.)

Fiber and Building Entry: Diverse conduit entry points

Security: 24x365 security staff, Proximity card and biometic access control, Digital video monitoring and recording, SSAE 16 SOC2 Complaint

Parking: Parking available w/ security cameras, Reserved and open parking",,,,
1232 Alma Road (DFW16),Digital Realty,1232,Alma Road,75081,Richardson,Texas,33,-96.7157468,"Located in the epicenter of north Dallas' high technology corridor, 1232 Alma Road is a 105,726 square foot free-standing building situated in Digital Realty Trust's 69-acre Datacenter Park - Dallas. Electrical service to the park is distributed from a dedicated, privately owned substation capable of delivering up to 100 MW of power. Telecommunications service is provided by nine different fiber providers currenlty located in the park. 1232 Alma Road is a multi-tenant facility designed for 6,750 kW of IT load. The building is fully-leased.",,,,
4025 Midway Rd (DFW11),Digital Realty,4025,Midway Rd,75007,Carrollton,Texas,33,-96.8446396,"Conveniently located near the George Bush Turnpike and North Dallas Tollway, this facility of more than 100,000 square feet, was built in 2000 and renovated in 2008 and provides an ideal data center location. This building provides data center and office space for lease.",,,,
850 E. Collins Boulevard (DFW28),Digital Realty,850,E. Collins Boulevard,75081,Richardson,Texas,33,-96.71318999,"Digital Realty's datacenter at 850 E. Collins Boulevard is in a 121,000 square foot free-standing facility in our 69-acre data campus known as Digital Dallas. Electrical service to the park is served by diverse substation feeders, to our dedicated, privately owned, substation capable of delivering up to 100 MW of power.",,,,
1210 Integrity Drive (DFW18),Digital Realty,1210,Integrity Drive,75081,Richardson,Texas,33,-96.71385658,"1210 Integrity Drive is on a 7.73-acre green field in our 69-acre data campus known as Digital Dallas. Electrical service to the park is served by diverse substation feeders to our dedicated, privately owned, substation, which can deliver up to 100 MW of power.",,,,
Centersquare Webb Chapel,Centersquare,11830,Webb Chapel Rd. Suite 200,75234,Dallas,Texas,33,-96.871025,"EVOQUE DALLAS/WEBB CHAPEL
11830 Webb Chapel Rd. Suite 200, Dallas, TX 75234
Dallas/Webb Chapel provides high-speed connectivity to Evoque's other US data centers, with low-latency Internet connectivity and direct cloud access to public clouds. Excellent resilience, two private conference rooms, and ample drop-in office space make it the ideal location for several of the largest global organizations.",,,,
900 Quality Way (DFW17),Digital Realty,900,Quality Way,75081,Richardson,Texas,33,-96.71274274,"Located in the epicenter of north Dallas' high technology corridor, 900 Quality Way sits in the middle of Digital Realty Trust's 69-acre Datacenter Park - Dallas. The building has approximately 83,000 square feet on the first floor and almost 29,000 square feet on a second floor mezzanine. Electrical service to the park is distributed from a dedicated, privately owned substation capable of delivering up to 100 MW of power. Telecommunications service is provided by nine different fiber providers currenlty located in the park. 900 Quality Way is planned as a multi-tenant facility with 6,675 kW of IT load and over 60,000 square feet of raised floor area. It's available for lease on either a Powered Base Building or Turn-Key Datacenter basis.",,,,
Cologix DAL1,Cologix,1950,"N. Stemmons Fwy
Suite 1032",75207,Dallas,Texas,33,-96.8195337,"Connectivity Choice

Cologix is your network neutral partner, providing customers with buying power and direct interconnection choice of 35+ unique networks in the company's on-site MMR, in addition to other tenants in the INFOMART.

Relentless Infrastructure

With two power feeds from three different utility substations using two automatic transfer switches (ATSs), two uninterruptible power systems (UPSs), and a backup generator, the robust Cologix Dallas facility offers leading power redundancy. On top of that, the INFOMART location promises additional power reliability on a priority feed with the Parkland Health Hospital System. The data center uses a redundant and efficient perimeter computer room air conditioning (CRAC) system with overhead ducted supply in cold aisle/hot aisle configuration.

Certified & Secure

The Cologix data center is SSAE 16 SOC1 audited, with support to gain PCI compliance on an individual basis. Additionally, the Cologix operated tailgate-proof mantrap is augmented by 24/7 on-site security guards, keycard and biometric authentication access, and closed-circuit TV (CCTV).

The Most Customer Friendly Provider in Dallas

All customers have direct and 24/7 access to seasoned local engineers and support teams, in addition to a web-based portal for online technical support ticket submissions. Local Cologix technicians also leverage the Cologix Command data center infrastructure management (DCIM) platform to continually monitor service to ensure business continuity, alerting customers with options when nearing capacity.

Why Cologix Dallas?

Dallas is situated at the major crossroads of network connectivity in the South Central United States. Cologix maintains 40,000 SQF of data center space in the INFOMART building, which has the largest number of carriers out of any single building in a 900-mile radius, with more than 8,700 strands of fiber. This makes Cologix Dallas the perfect location to colocate your proximity-reliant or latency-sensitive applications.",,,,
Centersquare Allen,Centersquare,900,Guardians Way,75013,Dallas,Texas,33,-96.68330292,"EVOQUE TEXAS
900 Guardians Way, Allen, TX 75013
Evoque Allen is cloud-enabled, with low-latency Internet connectivity, and high-speed connections to Evoque's data centers across the US, with the resilience and physical security you expect from a world-class data center provider.

115,633 sq. ft. data center; 77,124 sq. ft. of raised floor
Standard cabinet: 45U 42"" deep 4 & 6 kW
Standard cage capacity: up to 300 W/sq. ft.
Higher densities with build to suit
Cloud-enabled with Evoque Connectivity Suite and Megaport
99.999% SLA on power, network and bandwidth
Seismic Zone 1",,,,
Cologix DAL2,Cologix,1950,"North Stemmons Freeway
Suite 2010",75207,Dallas,Texas,33,-96.81886405,"Cologix Enterprise Data Center
This technology-forward data center reflects Cologix’s latest expansion in one of the most robust communications markets in the United States. We maintain 50K SQFT of data center space across our three Dallas colocation data centers in the Infomart building, which has the largest number of carriers out of any single building in a 900-mile radius, and more than 8,700 strands of fiber.

With 2N redundancy on the UPS and generator and hot-aisle containment with in-row cooling, the DAL2 data center is designed and built to support 99.999% uptime and growing power densities.",,,,
1215 Integrity Drive (DFW25),Digital Realty,1215,Integrity Drive,75081,Richardson,Texas,33,-96.71445995,"Located in the North Dallas high technology corridor, 1215 Integrity Drive is a single-story data center facility situated on the southwest corner of the 69-acre Digital Dallas data campus. Totaling approximately 112,258 sq. ft., the building was constructed in 2012 and is the first Digital Realty ground-up data center building constructed on the campus. The property is fully leased with 50% of the leased premises expiring 9/30/27 and 50% expiring 7/31/30. Electrical service to the park is distributed from a dedicated, privately owned substation capable of delivering up to 100 MW of power. Telecommunications service is provided by nine different fiber providers currently located within the park.",,,,
Cologix DAL3,Cologix,1950,"North Stemmons Freeway
Suite 2004",75207,Dallas,Texas,33,-96.81900414,"Flexible, Physical and Virtual Connections to the Cloud
Cologix’s newest interconnection hub in Dallas offers an additional 13K SQFT in the renowned Infomart, the region’s premier carrier hotel and most densely connected building within a 900-mile radius. DAL3 offers 2.25 MW of power, direct onramps to Amazon Web Services® Direct Connect and Microsoft® Azure ExpressRoute and on-demand, virtual cloud access through Cologix Access Marketplace.",,,,
950 E. Collins Boulevard (DFW29),Digital Realty,950,E. Collins Boulevard,75081,Richardson,Texas,33,-96.70958977,"950 E. Collins is a 121,370 SF free-standing building located in Digital Realty's 69-acre data campus known as Digital Dallas. The project is located in the epicenter of North Dallas' high technology corridor, with electrical service to the park distributed via a dedicated, privately owned, substation capable of delivering up to 100 MW of power. Telecommunications service is provided by nine different fiber providers currently located in the park. 950 E. Collins is planned as a multi-tenant facility with approximately 60,000 sq. ft. of raised floor space and 6.75 MW of IT load. It is available for lease on a Turn-Key Flex basis.",,,,
Stream DC DFW VII - Garland,Stream Data Centers,1813,Lookout Drive,75044,Garland,Texas,33,-96.6546325,"Stream Data Centers' newly constructed DFW VII facility is an expandable 138,132 SF data center with a new on-site Oncor substation and dual (2) dedicated underground 40 MW utility feeds, predesigned to support full capacity of the campus.

Ultimately, in future phases, the campus will total approximately 400,000 square feet of data center space. Today Stream's DFW VII data center features:


HIGHLIGHTS:

- A 22.66-acre site in Garland, Texas located on Lookout Drive, in close proximity to robust Northeast Dallas, Richardson and Garland amenities, power and fiber infrastructure.

- Initial 138,132 square-foot structurally enhanced facility with land available for multiple phases, and 75,000 square feet of fully commissioned data hall space.

- Two (2) 40 MW utility feeds from a new on-site Oncor substation offering power at competitive transmission rates, and options for renewable energy.

- Two (2) diverse telco entrances, with multiple fiber providers and a strong mix of local, long haul and dark fiber providers to the site through multiple routes.

- Designed to meet or exceed size and capital investment requirements under House Bill 1223 sales tax exemption program.

- Optimal location outside of flight paths, railways and FEMA 500-year flood plain.

- Multiple network service providers are engaged for diverse dark fiber paths back to the major carrier hotels and cloud interconnection locations, allowing our customers to expand beyond the providers that are in the immediate area with access to 100+ network and cloud providers.",,,,
2440 Marsh Lane (DFW12),Digital Realty,2440,Marsh Lane,75006,Carrollton,Texas,33,-96.8539841,,,,,
Hivelocity - Dallas 1,Hivelocity,1515,Round Table Dr,75247,Dallas,Texas,33,-96.8784099,"Hivelocity was founded in 2002 by a few guys with a single mission to create an exceptional company with a singular focus on simplifying hosting. Starting with a single rack of servers located in the quintessential basement, (every great start-up story starts in a basement or garage after all) our vision was to build a hosting company that not only supported customer growth but fostered it as well. Our philosophy back in 2002 is the same as it is today, the more successful our customers are the more successful we will be. Hivelocity's goal has always been to do whatever possible, whenever possible to put our customers in the best position to succeed, with the simple hope that our customer's success would eventually lead to them needing more of our services.

Our deliberate effort to focus only on the customer's needs and success has led us from the single rack of servers in that dingy basement to operating 8 world-class data centers totaling over 70,000 square feet across Florida, Georgia, New York, Texas, California, and Washington State. Today we maintain and manage over 15,000 physical and virtualized servers and provide managed solutions on dedicated servers, virtual servers and private cloud. Each of our data centers is SSAE-16 SOC1 and SOC2 certified with HIPAA and PCI compliant services also available. Hivelocity is privately held and currently employs 80 of the brightest technicians, engineers and programmers in the business.

Through all of the growth and all of the added service offerings our mission has never changed provide our customers with a solution and environment that puts them in the best position to succeed. To us this means providing incredibly reliable solutions that allow our customers to focus on running their business. It means providing a level of customer service and support that far exceeds their expectations. It means always considering the customer's user experience first in everything we do and offer. Lastly, it means doing all of these things at a price point that enables their businesses to flourish.

To provide the ultimate user experience through exceptional customer service, flawless reliability and extraordinary innovation. Today and always.",,,,
907 Security Row (DFW35),Digital Realty,907,Security Row,75081,Richardson,Texas,33,-96.71001286,,,,,
Flexential Dallas - Plano Data Center,Flexential,3500,E Plano Pkwy,75074,Plano,Texas,33,-96.66623738,"Built to accommodate power densities of 1,500 W per square foot, our generation 4 Dallas - Plano data center offers proprietary & highly efficient cooling & 261,400+ square feet of gross building capacity - ample room for your growth.

Our Dallas - Plano facility features:

- 261,425 square-foot data center footprint
- 1500+ watts per square foot power density
- 100% SLA on power, cooling, network and bandwidth

Flexential empowers the IT journey of the nation's most complex businesses by offering flexible and tailored hybrid IT solutions comprised of colocation, cloud, connectivity, data protection, managed, and professional services. The company builds on a platform of three million square feet of data center space in 19 highly connected markets, and on its 100Gbps private backbone to meet the most stringent challenges in security, compliance, and resiliency. See how Flexential goes beyond the four walls of the data center to empower IT through an interactive map found on www.flexential.com.",,,,
Flexential Dallas - Downtown Data Center,Flexential,1950,Stemmons Freeway,75207,Dallas,Texas,33,-96.8194987,"Five data centers. One location. Our Dallas - Downtown complex is designed with a single focus: protecting your mission-critical data and applications. Our facility is 80,000+ square feet and backed by our 100% network and bandwidth uptime commitment.

Our Dallas - Downtown facility features:

- 80,447 square-foot data center footprint
- 150+ watts per square foot power density
- 100% SLA on power, cooling, network and bandwidth

Flexential empowers the IT journey of the nation's most complex businesses by offering flexible and tailored hybrid IT solutions comprised of colocation, cloud, connectivity, data protection, managed, and professional services. The company builds on a platform of three million square feet of data center space in 19 highly connected markets, and on its 100Gbps private backbone to meet the most stringent challenges in security, compliance, and resiliency. See how Flexential goes beyond the four walls of the data center to empower IT through an interactive map found on www.flexential.com.",,,,
4849 Alpha Road (DFW14),Digital Realty,4849,Alpha Road,75244,Dallas,Texas,33,-96.82796352,,,,,
908 Quality Way (DFW20),Digital Realty,908,Quality Way,75081,Richardson,Texas,33,-96.709869,,,,,
904 Quality Way (DFW21),Digital Realty,904,Quality Way,75081,Richardson,Texas,33,-96.71161213,,,,,
Flexential Dallas - Richardson Data Center,Flexential,3010,Waterview Parkway,75080,Richardson,Texas,33,-96.75271723,"Our Dallas - Richardson data center offers secure, reliable colocation, cloud, connectivity and DR solutions over our 100 Gbps network backbone. The facility is certified for compliance with HITRUST CSF & PCI DSS & more regulatory standards.

Our Dallas - Richardson facility features:

- 100,807 square-foot data center footprint
- 240+ watts per square foot power density
- 100% SLA on power, cooling, network and bandwidth

Flexential empowers the IT journey of the nation's most complex businesses by offering flexible and tailored hybrid IT solutions comprised of colocation, cloud, connectivity, data protection, managed, and professional services. The company builds on a platform of three million square feet of data center space in 19 highly connected markets, and on its 100Gbps private backbone to meet the most stringent challenges in security, compliance, and resiliency. See how Flexential goes beyond the four walls of the data center to empower IT through an interactive map found on www.flexential.com.",,,,
