Facility Id,EPA Website,FRS Id,Company ,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Industry Type (sectors),Total reported direct emissions,CO2 emissions (mt) ,Biogenic CO2 emissions (metric tons),Stationary Combustion,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions 
1012740,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1012740&ds=E&et=&popup=true,110071162018,1804 Ltd ,Spring Brook Gas Plant,Williston,ND,58801,,WILLIAMS COUNTY,48.229118,-103.518843,Natural Gas Processing," 49,828 "," 48,262 ", -   ," 48,226 "," 1,538 ", 27 
1007714,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1007714&ds=E&et=&popup=true,110071159314,3CM Holdings ,Chapel Hill Gas Plan,Winona,TX,75792,4426 FM 757,SMITH COUNTY,32.38369,-95.109069,Natural Gas Processing," 12,839 "," 9,493 ", -   ," 3,940 "," 3,341 ", 6 
1006087,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1006087&ds=E&et=&popup=true,110000505105,3CM Holdings ,Longview Gas Plant,Longview,TX,75604,3407 Camp Switch Road,GREGG COUNTY,32.503611,-94.868056,Natural Gas Processing," 85,203 "," 73,718 ", -   ," 65,138 "," 11,445 ", 40 
1004206,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1004206&ds=E&et=&popup=true,110000367567,3M,3M COMPANY,DECATUR,AL,35609,1400 STATE DOCKS RD.,MORGAN COUNTY,34.64179,-87.033608,Chemicals," 38,182 "," 36,887 ", -   ," 36,926 ", 17 , 21 
1006665,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1006665&ds=E&et=&popup=true,110013886875,3M,3M CORDOVA,CORDOVA,IL,61242,22614 ROUTE 84 NORTH,ROCK ISLAND COUNTY,41.755,-90.284167,Chemicals," 650,245 "," 35,151 ", -   ," 35,191 ", 18 , 22 
1004836,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1004836&ds=E&et=&popup=true,110000423667,3M,3M Cottage Grove Center - Site,Cottage Grove,MN,55016,10746 Innovation Rd,WASHINGTON COUNTY,44.789444,-92.908333,Chemicals," 24,092 "," 23,310 ", -   ," 22,112 ", 11 , 13 
1003188,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1003188&ds=E&et=&popup=true,110000599273,3M,3M BROWNWOOD,BROWNWOOD,TX,76801,4501 HIGHWAY 377 SOUTH,BROWN COUNTY,31.671177,-98.996513,Minerals," 29,520 "," 29,490 ", -   ," 29,390 ", 14 , 16 
1003739,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1003739&ds=E&et=&popup=true,110000589159,3M,3M CO - GUIN,GUIN,AL,35563,6675 US HIGHWAY 43,MARION COUNTY,33.96548,-87.89936,Minerals," 29,838 "," 29,808 ", -   ," 28,828 ", 14 , 16 
1003408,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1003408&ds=E&et=&popup=true,110071161417,3M,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,LITTLE ROCK,AR,72206,3110 WALTERS DRIVE,PULASKI COUNTY,34.70537,-92.24607,Minerals," 32,760 "," 32,726 ", -   ," 32,760 ", 16 , 18 
1013282,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1013282&ds=E&et=&popup=true,,3M,3M Pittsboro,Moncure,NC,27559,4191 Hwy 87 South,,35.660546,-79.176782,Minerals," 28,142 "," 28,113 ", -   ," 28,142 ", 13 , 16 
1005043,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1005043&ds=E&et=&popup=true,110071160392,3M,3M CO,MAPLEWOOD,MN,55144,,RAMSEY COUNTY,44.951,-92.9959,Manufacturing," 87,926 "," 87,821 ", -   ," 87,926 ", 45 , 61 
1007698,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1007698&ds=E&et=&popup=true,110000421776,3M,3M CO - WAUSAU DOWNTOWN,WAUSAU,WI,54401,144 ROSECRANS ST,MARATHON COUNTY,44.95018,-89.63766,Manufacturing," 41,528 "," 41,485 ", -   ," 41,528 ", 20 , 23 
