field_1,Applicant Name,Alias,Well Name,Project Name,Company website,Document Website,Well Applications,EPA Region,Well Class,Well Type,State,County/Parish,Latitude,Longitude,Lambert X (1927 LAMBERT COORDINATE STANDARD),Lambert Y (1927 LAMBERT COORDINATE STANDARD),Location,Comments,Injection Rate,Years,Total Volume,New Louisiana Well No,NDIC File No.,Louisiana Well No,API,UIC Application Num,Approval Ownership,Well Number,Permit Status,Application Received Date,NOD 1 Sent,NOD 1 Response Rec'd,NOD 2 Sent,NOD 2 Response Rec'd,NOD 3 Sent,NOD 3 Response Rec'd,Completeness Review - Estimated Date,Completeness Review - Actual Date,RAI 1 Sent,RAI 1 Response Rec'd,RAI 2 Sent,RAI 2 Response Rec'd,RAI 3 Sent,RAI 3 Response Rec'd,RAI 4 Sent,RAI 4 Response Rec'd,RAI 5 Sent,RAI 5 Response Rec'd,RAI 6 Sent,RAI 6 Response Rec'd,RAI 7 Sent,RAI 7 Response Rec'd,RAI 8 Sent,RAI 8 Response Rec'd,RAI 9 Sent,RAI 9 Response Rec'd,RAI 10 Sent,RAI 10 Response Rec'd,Technical Review  - Estimated Date,Technical Review - Actual Date,On Hold Start Date,On Hold End Date,Draft Permit- Estimated Date,Draft Permit - Actual Date,Public Comment  Period - Estimated Date,Public Comment Period - Actual Date,Final Permit Decision- Estimated Date,Final Permit Decision- Actual Date,2nd Public Comment Period - Estimated,2nd Public Comment Period - Actual,2nd Prepare Final Permit Decision - Estimated,2nd Prepare Final Permit Decision - Actual,Application Received by State,Declared Administratively Complete by State,start of State Technical Review,layer,path
,Tenaska,Tenaska,LL#1,Longleaf CCS Hub,https://longleafccs.com/,https://udr.epa.gov/ords/uicdr/r/uicdr_ext/uicdr-pub/repository-1-details?p15_project_id=137&clear=15&session=10971593252539&cs=3NsPd1-t5kTsLDtwjpbcQS8YA0-KRbmcA0LwTdkGUE-21hOrHtbb3-RtEdlecoApsH8kS2M74oLHnF8JBbnSChA,"4",4,VI,Geologic Sequestration,Alabama,Mobile,"31.071303","-88.094703",,,,,,,,,,,,,US EPA,,Pending,5/5/2023,6/8/2023,6/24/2023,8/31/2023,9/12/2023,"-","-","-",11/2/2023,3/21/2024,4/22/2024,7/10/2024,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",4/20/2025,"-","-","-",6/19/2025,"-",8/3/2025,"-","-","-","-","-","-","-",,,,Well Database,file:///C:/Users/AmmarYousaf/Fiver/Potato_Map/Well%20Database.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
,Tenaska,Tenaska,LL#2,Longleaf CCS Hub,https://longleafccs.com/,https://udr.epa.gov/ords/uicdr/r/uicdr_ext/uicdr-pub/repository-1-details?p15_project_id=137&clear=15&session=10971593252539&cs=3NsPd1-t5kTsLDtwjpbcQS8YA0-KRbmcA0LwTdkGUE-21hOrHtbb3-RtEdlecoApsH8kS2M74oLHnF8JBbnSChA,"4",4,VI,Geologic Sequestration,Alabama,Mobile,"31.070774","-88.074523",,,,,,,,,,,,,US EPA,,Pending,5/5/2023,6/8/2023,6/24/2023,8/31/2023,9/12/2023,"-","-","-",11/2/2023,3/21/2024,4/22/2024,7/10/2024,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",4/20/2025,"-","-","-",6/19/2025,"-",8/3/2025,"-","-","-","-","-","-","-",,,,Well Database,file:///C:/Users/AmmarYousaf/Fiver/Potato_Map/Well%20Database.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
,Tenaska,Tenaska,LL#3,Longleaf CCS Hub,https://longleafccs.com/,https://udr.epa.gov/ords/uicdr/r/uicdr_ext/uicdr-pub/repository-1-details?p15_project_id=137&clear=15&session=10971593252539&cs=3NsPd1-t5kTsLDtwjpbcQS8YA0-KRbmcA0LwTdkGUE-21hOrHtbb3-RtEdlecoApsH8kS2M74oLHnF8JBbnSChA,"4",4,VI,Geologic Sequestration,Alabama,Mobile,"31.0447129","-88.0736318",,,,,,,,,,,,,US EPA,,Pending,5/5/2023,6/8/2023,6/24/2023,8/31/2023,9/12/2023,"-","-","-",11/2/2023,3/21/2024,4/22/2024,7/10/2024,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",4/20/2025,"-","-","-",6/19/2025,"-",8/3/2025,"-","-","-","-","-","-","-",,,,Well Database,file:///C:/Users/AmmarYousaf/Fiver/Potato_Map/Well%20Database.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
,Tenaska,Tenaska,LL#4,Longleaf CCS Hub,https://longleafccs.com/,https://udr.epa.gov/ords/uicdr/r/uicdr_ext/uicdr-pub/repository-1-details?p15_project_id=137&clear=15&session=10971593252539&cs=3NsPd1-t5kTsLDtwjpbcQS8YA0-KRbmcA0LwTdkGUE-21hOrHtbb3-RtEdlecoApsH8kS2M74oLHnF8JBbnSChA,"4",4,VI,Geologic Sequestration,Alabama,Mobile,"31.0569516","-88.1047433",,,,,,,,,,,,,US EPA,,Pending,5/5/2023,6/8/2023,6/24/2023,8/31/2023,9/12/2023,"-","-","-",11/2/2023,3/21/2024,4/22/2024,7/10/2024,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",4/20/2025,"-","-","-",6/19/2025,"-",8/3/2025,"-","-","-","-","-","-","-",,,,Well Database,file:///C:/Users/AmmarYousaf/Fiver/Potato_Map/Well%20Database.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
,Lapis Energy (AR Development) LP,Lapis Energy,Well #1,*Blue,https://www.lapisenergy.com/,https://udr.epa.gov/ords/uicdr/r/uicdr_ext/uicdr-pub/repository-1-details?p15_project_id=153&clear=15&session=10971593252539&cs=34mk-rcRT4xNQsuoyYCGXuipElWqy9E7VJRFThZ_1vZ_xscQat_vHupV5cUBjPF2QYlQ-aT_we-auxSCEyD4rJg,"2",6,VI,Geologic Sequestration,Arkansas,Union,"33.26136146","-92.69115153",,,,,,,,,,,,,US EPA,,Pending,2/16/2023,"-","-","-","-","-","-","-",5/19/2023,5/7/2024,6/10/2024,5/9/2024,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",11/4/2024,"-","-","-",1/3/2025,"-",2/17/2025,"-","-","-","-","-","-","-",,,,Well Database,file:///C:/Users/AmmarYousaf/Fiver/Potato_Map/Well%20Database.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
,Lapis Energy (AR Development) LP,Lapis Energy,Well #2,*Blue,https://www.lapisenergy.com/,https://udr.epa.gov/ords/uicdr/r/uicdr_ext/uicdr-pub/repository-1-details?p15_project_id=153&clear=15&session=10971593252539&cs=34mk-rcRT4xNQsuoyYCGXuipElWqy9E7VJRFThZ_1vZ_xscQat_vHupV5cUBjPF2QYlQ-aT_we-auxSCEyD4rJg,"2",6,VI,Geologic Sequestration,Arkansas,Union,"33.26136255","-92.69098782",,,,,,,,,,,,,US EPA,,Pending,2/16/2023,"-","-","-","-","-","-","-",5/19/2023,5/7/2024,6/10/2024,5/9/2024,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",11/4/2024,"-","-","-",1/3/2025,"-",2/17/2025,"-","-","-","-","-","-","-",,,,Well Database,file:///C:/Users/AmmarYousaf/Fiver/Potato_Map/Well%20Database.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
,"Aera Energy, LLC",Aera Energy,CI1-64Z-27N,CarbonFrontier,https://www.aeraenergy.com/responsibility/carbon-frontier/,https://udr.epa.gov/ords/uicdr/r/uicdr_ext/uicdr-pub/repository-1-details?p15_project_id=170&clear=15&session=10971593252539&cs=3-mPEk0xRMZWR3T2TJ0XcUq1RVzSe60XvqqXsHQko0FJFUnwkLjYScqnIiZxDBuEuiWlS6XCCZ4DACHFJ-ObGdA,"9",9,VI,Geologic Sequestration,California,Kern,"35.5424087","-119.7936301",,,,,,,,,,,,,US EPA,,Pending,1/19/2023,2/23/2023,3/10/2023,"-","-","-","-","-",3/21/2023,10/10/2023,12/21/2023,3/29/2024,4/9/2024,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/21/2024,"-","-","-",11/20/2024,"-",12/20/2024,"-","-","-","-","-","-","-",,,,Well Database,file:///C:/Users/AmmarYousaf/Fiver/Potato_Map/Well%20Database.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
,"Aera Energy, LLC",Aera Energy,CI2-64Z-35N,CarbonFrontier,https://www.aeraenergy.com/responsibility/carbon-frontier/,https://udr.epa.gov/ords/uicdr/r/uicdr_ext/uicdr-pub/repository-1-details?p15_project_id=170&clear=15&session=10971593252539&cs=3-mPEk0xRMZWR3T2TJ0XcUq1RVzSe60XvqqXsHQko0FJFUnwkLjYScqnIiZxDBuEuiWlS6XCCZ4DACHFJ-ObGdA,"9",9,VI,Geologic Sequestration,California,Kern,"35.5365682","-119.785442",,,,,,,,,,,,,US EPA,,Pending,1/19/2023,2/23/2023,3/10/2023,"-","-","-","-","-",3/21/2023,10/10/2023,12/21/2023,3/29/2024,4/9/2024,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/21/2024,"-","-","-",11/20/2024,"-",12/20/2024,"-","-","-","-","-","-","-",,,,Well Database,file:///C:/Users/AmmarYousaf/Fiver/Potato_Map/Well%20Database.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
,"Aera Energy, LLC",Aera Energy,CI3-64Z-35N,CarbonFrontier,https://www.aeraenergy.com/responsibility/carbon-frontier/,https://udr.epa.gov/ords/uicdr/r/uicdr_ext/uicdr-pub/repository-1-details?p15_project_id=170&clear=15&session=10971593252539&cs=3-mPEk0xRMZWR3T2TJ0XcUq1RVzSe60XvqqXsHQko0FJFUnwkLjYScqnIiZxDBuEuiWlS6XCCZ4DACHFJ-ObGdA,"9",9,VI,Geologic Sequestration,California,Kern,"35.5365682","-119.785442",,,,,,,,,,,,,US EPA,,Pending,1/19/2023,2/23/2023,3/10/2023,"-","-","-","-","-",3/21/2023,10/10/2023,12/21/2023,3/29/2024,4/9/2024,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/21/2024,"-","-","-",11/20/2024,"-",12/20/2024,"-","-","-","-","-","-","-",,,,Well Database,file:///C:/Users/AmmarYousaf/Fiver/Potato_Map/Well%20Database.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
,"Aera Energy, LLC",Aera Energy,CI4-64Z-35N,CarbonFrontier,https://www.aeraenergy.com/responsibility/carbon-frontier/,https://udr.epa.gov/ords/uicdr/r/uicdr_ext/uicdr-pub/repository-1-details?p15_project_id=170&clear=15&session=10971593252539&cs=3-mPEk0xRMZWR3T2TJ0XcUq1RVzSe60XvqqXsHQko0FJFUnwkLjYScqnIiZxDBuEuiWlS6XCCZ4DACHFJ-ObGdA,"9",9,VI,Geologic Sequestration,California,Kern,"35.5320598","-119.7810518",,,,,,,,,,,,,US EPA,,Pending,1/19/2023,2/23/2023,3/10/2023,"-","-","-","-","-",3/21/2023,10/10/2023,12/21/2023,3/29/2024,4/9/2024,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/21/2024,"-","-","-",11/20/2024,"-",12/20/2024,"-","-","-","-","-","-","-",,,,Well Database,file:///C:/Users/AmmarYousaf/Fiver/Potato_Map/Well%20Database.csv?type=csv&maxFields=10000&detectTypes=yes&xField=Longitude&yField=Latitude&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no
